id,name,description,tags,fragment_file
anti-patterns,Rust Testing Anti-Patterns,Comprehensive guide and scoring for Rust testing anti-patterns,"rust,testing,anti-patterns,quality,scoring",anti-patterns.md
review-patterns,Rust Test Review Patterns,Senior-dev review patterns and quality frameworks,"rust,testing,review,quality",review-patterns.md
lithos-architecture-testing,Lithos Architecture Testing,Bounded context and CQRS testing patterns,"lithos,architecture,cqrs,zero-copy",lithos-architecture-testing.md
knowledge-overview,Rust Testing Knowledge Overview,Index and usage guide for Rust testing knowledge modules,"rust,testing,overview,guide",README.md
unit,Rust Unit Testing,Unit test location rules and patterns,"rust,testing,unit",test-unit.md
integration,Rust Integration Testing,Integration testing guidance for I/O and dependencies,"rust,testing,integration",test-integration.md
e2e,Rust E2E Testing,End-to-end CLI testing guidance,"rust,testing,e2e,cli",test-e2e.md
naming,Rust Test Naming,Test naming conventions and patterns,"rust,testing,naming,conventions",naming.md
assertions,Rust Test Assertions,Assertion patterns and error messaging,"rust,testing,assertions",assertions.md
linting,Linter Warning Management,Clippy standards and suppression policies for tests,"rust,testing,linting,clippy",linting.md
fixtures,Rust Test Fixtures,Fixture setup strategies and isolation guidance,"rust,testing,fixtures",fixtures.md
test-doc-tests,Doc-Tests Guide,Executable examples and living documentation patterns,"rust,testing,doc-tests",test-doc-tests.md
test-safety,Safety & Determinism,Sync-first architecture and deterministic testing rules,"rust,testing,safety,determinism",test-safety.md
test-coverage,Coverage Tools,Guide to llvm-cov and tarpaulin usage,"rust,testing,coverage",test-coverage.md
test-policy,Testing Policies,Behavioral rules and snapshot testing policy,"rust,testing,policy",test-policy.md
mocks,Mocking Patterns,Trait-based and automock patterns,"rust,testing,mocks",mocks.md
benchmarks,Performance & Benchmarking,Criterion benchmarks and memory profiling,"rust,testing,benchmarks,performance",test-benchmarks.md
quality-gates,Quality Gates,Coverage and performance thresholds,"rust,testing,quality-gates",quality-gates.md
ci,CI/CD Integration,Automated pipeline and gate enforcement,"rust,testing,ci",ci.md
tools-nextest,Nextest Configuration,Nextest profiles and usage patterns,"rust,testing,nextest,tools",tools-nextest.md
tools-proptest,Proptest Patterns,Property-based testing guidance and strategies,"rust,testing,proptest,property-testing",tools-proptest.md
tools-rstest,rstest Patterns,Parameterized testing and fixtures with rstest,"rust,testing,rstest,tools",tools-rstest.md
fixture-architecture,Fixture Architecture,"Composable fixture patterns (pure function -> fixture -> merge) and reuse rules","fixtures,architecture,playwright,cypress",../../../tea/testarch/knowledge/fixture-architecture.md
network-first,Network-First Safeguards,"Intercept-before-navigate workflow, HAR capture, deterministic waits, edge mocking","network,stability,playwright,cypress,ui",../../../tea/testarch/knowledge/network-first.md
data-factories,Data Factories and API Setup,"Factories with overrides, API seeding, cleanup discipline","data,factories,setup,api,backend,seeding",../../../tea/testarch/knowledge/data-factories.md
component-tdd,Component TDD Loop,"Red -> green -> refactor workflow, provider isolation, accessibility assertions","component-testing,tdd,ui",../../../tea/testarch/knowledge/component-tdd.md
playwright-config,Playwright Config Guardrails,"Environment switching, timeout standards, artifact outputs","playwright,config,env",../../../tea/testarch/knowledge/playwright-config.md
ci-burn-in,CI and Burn-In Strategy,"Staged jobs, shard orchestration, burn-in loops, artifact policy","ci,automation,flakiness",../../../tea/testarch/knowledge/ci-burn-in.md
selective-testing,Selective Test Execution,"Tag/grep usage, spec filters, diff-based runs, promotion rules","risk-based,selection,strategy",../../../tea/testarch/knowledge/selective-testing.md
feature-flags,Feature Flag Governance,"Enum management, targeting helpers, cleanup, release checklists","feature-flags,governance,launchdarkly",../../../tea/testarch/knowledge/feature-flags.md
contract-testing,Contract Testing Essentials,"Pact publishing, provider verification, resilience coverage","contract-testing,pact,api,backend,microservices,service-contract",../../../tea/testarch/knowledge/contract-testing.md
email-auth,Email Authentication Testing,"Magic link extraction, state preservation, caching, negative flows","email-authentication,security,workflow",../../../tea/testarch/knowledge/email-auth.md
error-handling,Error Handling Checks,"Scoped exception handling, retry validation, telemetry logging","resilience,error-handling,stability,api,backend",../../../tea/testarch/knowledge/error-handling.md
visual-debugging,Visual Debugging Toolkit,"Trace viewer usage, artifact expectations, accessibility integration","debugging,dx,tooling,ui",../../../tea/testarch/knowledge/visual-debugging.md
